station,distance_km,time_s,amplitude
CI.CLC,5.08341,22.8805,4.18144e+08
CI.CLC,5.08341,22.9305,4.16114e+08
CI.CLC,5.08341,22.9805,4.16065e+08
CI.CLC,5.08341,23.0305,4.14994e+08
CI.CLC,5.08341,23.0805,5.34947e+08
CI.CLC,5.08341,23.1305,5.34936e+08
CI.CLC,5.08341,23.1805,5.38933e+08
CI.CLC,5.08341,23.2305,5.40048e+08
CI.CLC,5.08341,23.2805,5.4187e+08
CI.CLC,5.08341,23.3305,5.44399e+08
CI.CLC,5.08341,23.3805,5.44798e+08
CI.CLC,5.08341,23.4305,5.44884e+08
CI.CLC,5.08341,23.4805,5.42969e+08
CI.CLC,5.08341,23.5305,5.41495e+08
CI.CLC,5.08341,23.5805,5.39265e+08
CI.CLC,5.08341,23.6305,5.39398e+08
CI.CLC,5.08341,23.6805,5.4177e+08
CI.CLC,5.08341,23.7305,5.4531e+08
CI.CLC,5.08341,23.7805,5.45141e+08
CI.CLC,5.08341,23.8305,5.44539e+08
CI.CLC,5.08341,23.8805,5.4396e+08
CI.CLC,5.08341,23.9305,5.40429e+08
CI.CLC,5.08341,23.9805,5.39222e+08
CI.CLC,5.08341,24.0305,5.41936e+08
CI.CLC,5.08341,24.0805,5.40651e+08
CI.CLC,5.08341,24.1305,5.41476e+08
CI.CLC,5.08341,24.1805,5.40639e+08
CI.CLC,5.08341,24.2305,5.39301e+08
CI.CLC,5.08341,24.2805,5.36025e+08
CI.CLC,5.08341,24.3305,5.32272e+08
CI.CLC,5.08341,24.3805,5.32553e+08
CI.CLC,5.08341,24.4305,5.32196e+08
CI.CLC,5.08341,24.4805,5.39335e+08
CI.CLC,5.08341,24.5305,5.33244e+08
CI.CLC,5.08341,24.5805,5.34749e+08
CI.CLC,5.08341,24.6305,5.33856e+08
CI.CLC,5.08341,24.6805,5.34549e+08
CI.CLC,5.08341,24.7305,5.36242e+08
CI.CLC,5.08341,24.7805,5.40694e+08
CI.CLC,5.08341,24.8305,5.53222e+08
CI.CLC,5.08341,24.8805,5.53842e+08
CI.CLC,5.08341,24.9305,5.54011e+08
CI.CLC,5.08341,24.9805,5.54089e+08
CI.CLC,5.08341,25.0305,5.54084e+08
CI.CLC,5.08341,25.0805,5.54495e+08
CI.CLC,5.08341,25.1305,5.41668e+08
CI.CLC,5.08341,25.1805,5.44063e+08
CI.CLC,5.08341,25.2305,5.44163e+08
CI.CLC,5.08341,25.2805,5.37668e+08
CI.CLC,5.08341,25.3305,5.3622e+08
CI.CLC,5.08341,25.3805,5.36928e+08
CI.CLC,5.08341,25.4305,5.41908e+08
CI.CLC,5.08341,25.4805,5.48966e+08
CI.CLC,5.08341,25.5305,5.50983e+08
CI.CLC,5.08341,25.5805,5.46582e+08
CI.CLC,5.08341,25.6305,5.52417e+08
CI.CLC,5.08341,25.6805,5.53254e+08
CI.CLC,5.08341,25.7305,5.47611e+08
CI.CLC,5.08341,25.7805,5.51501e+08
CI.CLC,5.08341,25.8305,5.53182e+08
CI.CLC,5.08341,25.8805,5.53678e+08
CI.CLC,5.08341,25.9305,5.52701e+08
CI.CLC,5.08341,25.9805,5.43858e+08
CI.CLC,5.08341,26.0305,5.42778e+08
CI.CLC,5.08341,26.0805,5.41219e+08
CI.CLC,5.08341,26.1305,5.45716e+08
CI.CLC,5.08341,26.1805,5.52377e+08
CI.CLC,5.08341,26.2305,5.54165e+08
CI.CLC,5.08341,26.2805,5.46874e+08
CI.CLC,5.08341,26.3305,5.4856e+08
CI.CLC,5.08341,26.3805,5.50197e+08
CI.CLC,5.08341,26.4305,5.53702e+08
CI.CLC,5.08341,26.4805,5.5266e+08
CI.CLC,5.08341,26.5305,5.50182e+08
CI.CLC,5.08341,26.5805,5.46625e+08
CI.CLC,5.08341,26.6305,5.41445e+08
CI.CLC,5.08341,26.6805,5.38242e+08
CI.CLC,5.08341,26.7305,5.38377e+08
CI.CLC,5.08341,26.7805,5.42517e+08
CI.CLC,5.08341,26.8305,5.40982e+08
CI.CLC,5.08341,26.8805,5.39026e+08
CI.CLC,5.08341,26.9305,5.38447e+08
CI.CLC,5.08341,26.9805,5.41177e+08
CI.CLC,5.08341,27.0305,5.38402e+08
CI.CLC,5.08341,27.0805,5.38451e+08
CI.CLC,5.08341,27.1305,5.38446e+08
CI.CLC,5.08341,27.1805,5.40325e+08
CI.CLC,5.08341,27.2305,5.41768e+08
CI.CLC,5.08341,27.2805,5.41872e+08
CI.CLC,5.08341,27.3305,5.42073e+08
CI.CLC,5.08341,27.3805,5.41339e+08
CI.CLC,5.08341,27.4305,5.4156e+08
CI.CLC,5.08341,27.4805,5.42267e+08
CI.CLC,5.08341,27.5305,5.40559e+08
CI.CLC,5.08341,27.5805,5.43657e+08
CI.CLC,5.08341,27.6305,5.50323e+08
CI.CLC,5.08341,27.6805,5.51593e+08
CI.CLC,5.08341,27.7305,5.5379e+08
CI.CLC,5.08341,27.7805,5.56314e+08
CI.CLC,5.08341,27.8305,5.5556e+08
CI.CLC,5.08341,27.8805,5.72032e+08
CI.CLC,5.08341,27.9305,5.72018e+08
CI.CLC,5.08341,27.9805,5.71936e+08
CI.CLC,5.08341,28.0305,5.72034e+08
CI.CLC,5.08341,28.0805,5.7206e+08
CI.CLC,5.08341,28.1305,5.72013e+08
CI.CLC,5.08341,28.1805,5.72227e+08
CI.CLC,5.08341,28.2305,5.72587e+08
CI.CLC,5.08341,28.2805,5.71787e+08
CI.CLC,5.08341,28.3305,5.7065e+08
CI.CLC,5.08341,28.3805,5.686e+08
CI.CLC,5.08341,28.4305,5.68604e+08
CI.CLC,5.08341,28.4805,5.686e+08
CI.CLC,5.08341,28.5305,5.68499e+08
CI.CLC,5.08341,28.5805,5.67939e+08
CI.CLC,5.08341,28.6305,5.67615e+08
CI.CLC,5.08341,28.6805,5.69131e+08
CI.CLC,5.08341,28.7305,5.70793e+08
CI.CLC,5.08341,28.7805,5.71141e+08
CI.CLC,5.08341,28.8305,5.68466e+08
CI.CLC,5.08341,28.8805,5.68524e+08
CI.CLC,5.08341,28.9305,5.7089e+08
CI.CLC,5.08341,28.9805,5.68445e+08
CI.CLC,5.08341,29.0305,5.68503e+08
CI.CLC,5.08341,29.0805,5.71059e+08
CI.CLC,5.08341,29.1305,-1.03493e+08
CI.CLC,5.08341,29.1805,-1.03538e+08
CI.CLC,5.08341,29.2305,-1.03552e+08
CI.CLC,5.08341,29.2805,-1.04794e+08
CI.CLC,5.08341,29.3305,-1.07934e+08
CI.CLC,5.08341,29.3805,-1.07473e+08
CI.CLC,5.08341,29.4305,-1.10157e+08
CI.CLC,5.08341,29.4805,-1.11111e+08
CI.CLC,5.08341,29.5305,-1.11183e+08
CI.CLC,5.08341,29.5805,-1.11511e+08
CI.CLC,5.08341,29.6305,-1.11403e+08
CI.CLC,5.08341,29.6805,-1.13105e+08
CI.CLC,5.08341,29.7305,-1.14917e+08
CI.CLC,5.08341,29.7805,-1.12234e+08
CI.CLC,5.08341,29.8305,-1.10221e+08
CI.CLC,5.08341,29.8805,-1.12398e+08
CI.CLC,5.08341,29.9305,-1.14503e+08
CI.CLC,5.08341,29.9805,-1.20381e+08
CI.CLC,5.08341,30.0305,-1.19263e+08
CI.CLC,5.08341,30.0805,-1.18681e+08
CI.CLC,5.08341,30.1305,-1.18385e+08
CI.CLC,5.08341,30.1805,-1.18187e+08
CI.CLC,5.08341,30.2305,-1.18326e+08
CI.CLC,5.08341,30.2805,-1.16286e+08
CI.CLC,5.08341,30.3305,-1.15479e+08
CI.CLC,5.08341,30.3805,-1.15189e+08
CI.CLC,5.08341,30.4305,-1.14574e+08
CI.CLC,5.08341,30.4805,-1.12987e+08
CI.CLC,5.08341,30.5305,-1.11193e+08
CI.CLC,5.08341,30.5805,-1.11496e+08
