parameter,computed,truth,error
latitude,34.9486,35.77,-0.821415
longitude,-117.732,-117.599,-0.132568
depth,11.25,8,3.25
magnitude,7.79498,7.1,0.694985
epicentral_error_km,92.1249,,
rms_s,3.39917,,
gap_deg,4.94655,,
quality,D,,
num_phases,14,,
num_stations,7,,
converged,1,,
iterations,3,,
