station,distance_km,sample,ratio
CI.DAW,55.7677,0.6828,1.00237
CI.DAW,55.7677,0.7328,1.00236
CI.DAW,55.7677,0.7828,1.00234
CI.DAW,55.7677,0.8328,1.00233
CI.DAW,55.7677,0.8828,1.00232
CI.DAW,55.7677,0.9328,1.00231
CI.DAW,55.7677,0.9828,1.0023
CI.DAW,55.7677,1.0328,1.00229
CI.DAW,55.7677,1.0828,1.00229
CI.DAW,55.7677,1.1328,1.00228
CI.DAW,55.7677,1.1828,1.00227
CI.DAW,55.7677,1.2328,1.00233
CI.DAW,55.7677,1.2828,1.00254
CI.DAW,55.7677,1.3328,1.00275
CI.DAW,55.7677,1.3828,1.00296
CI.DAW,55.7677,1.4328,1.00317
CI.DAW,55.7677,1.4828,1.00338
CI.DAW,55.7677,1.5328,1.00351
CI.DAW,55.7677,1.5828,1.00349
CI.DAW,55.7677,1.6328,1.00347
CI.DAW,55.7677,1.6828,1.00345
CI.DAW,55.7677,1.7328,1.00342
CI.DAW,55.7677,1.7828,1.00341
CI.DAW,55.7677,1.8328,1.00339
CI.DAW,55.7677,1.8828,1.00337
CI.DAW,55.7677,1.9328,1.00331
CI.DAW,55.7677,1.9828,1.00303
CI.DAW,55.7677,2.0328,1.00275
CI.DAW,55.7677,2.0828,1.00251
CI.DAW,55.7677,2.1328,1.00211
CI.DAW,55.7677,2.1828,1.00171
CI.DAW,55.7677,2.2328,1.00136
CI.DAW,55.7677,2.2828,1.00122
CI.DAW,55.7677,2.3328,1.00109
CI.DAW,55.7677,2.3828,1.00087
CI.DAW,55.7677,2.4328,1.00075
CI.DAW,55.7677,2.4828,1.00059
CI.DAW,55.7677,2.5328,1.00043
CI.DAW,55.7677,2.5828,1.00027
CI.DAW,55.7677,2.6328,1.00011
CI.DAW,55.7677,2.6828,1.00001
CI.DAW,55.7677,2.7328,0.999964
CI.DAW,55.7677,2.7828,0.999965
CI.DAW,55.7677,2.8328,0.999966
CI.DAW,55.7677,2.8828,0.999967
CI.DAW,55.7677,2.9328,0.999969
CI.DAW,55.7677,2.9828,0.999972
CI.DAW,55.7677,3.0328,0.999974
CI.DAW,55.7677,3.0828,0.999978
CI.DAW,55.7677,3.1328,0.999982
CI.DAW,55.7677,3.1828,0.999989
