depth_km,vp_km_s,vs_km_s
0,4.5,2.6
1,5.9,3.41
5,5.9,3.41
10,6.2,3.58
15,6.2,3.58
20,6.6,3.81
25,6.6,3.81
30,6.6,3.81
33,7.2,4.16
35,7.2,4.16
40,8,4.62
50,8,4.62
